sample_set,field,value,count,fraction
round2_selection_small,oracle_model,ES,1774,0.3548
round2_selection_small,oracle_model,NaiveForecaster,386,0.0772
round2_selection_small,oracle_model,PatchTST,814,0.1628
round2_selection_small,error_gap_quantile,q1,1326,0.2652
round2_selection_small,error_gap_quantile,q2,705,0.141
round2_selection_small,error_gap_quantile,q3,1089,0.2178
round2_selection_small,error_gap_quantile,q4,1069,0.2138
round2_selection_small,error_gap_quantile,q5,811,0.1622
round2_selection_small,cluster,0,1331,0.2662
round2_selection_small,cluster,18,693,0.1386
round2_selection_small,cluster,2,1059,0.2118
round2_selection_small,cluster,20,1039,0.2078
round2_selection_small,cluster,24,210,0.042
round2_selection_small,cluster,26,210,0.042
round2_selection_small,cluster,6,201,0.0402
round2_selection_small,cluster,8,257,0.0514
round2_selection_small,group_name,HIGH_HIGH_HIGH,1331,0.2662
round2_selection_small,group_name,HIGH_HIGH_LOW,1059,0.2118
round2_selection_small,group_name,HIGH_LOW_HIGH,201,0.0402
round2_selection_small,group_name,HIGH_LOW_LOW,257,0.0514
round2_selection_small,group_name,LOW_HIGH_HIGH,693,0.1386
round2_selection_small,group_name,LOW_HIGH_LOW,1039,0.2078
round2_selection_small,group_name,LOW_LOW_HIGH,210,0.042
round2_selection_small,group_name,LOW_LOW_LOW,210,0.042
round2_selection_small,forecastability_cat,high,1696,0.3392
round2_selection_small,forecastability_cat,low,3211,0.6422
round2_selection_small,forecastability_cat,medium,93,0.0186
round2_selection_small,season_strength_cat,moderate,1048,0.2096
round2_selection_small,season_strength_cat,strong,3132,0.6264
round2_selection_small,season_strength_cat,weak,820,0.164
round2_selection_small,trend_strength_cat,moderate,2137,0.4274
round2_selection_small,trend_strength_cat,strong,2266,0.4532
round2_selection_small,trend_strength_cat,weak,597,0.1194
round2_selection_small,cv_cat,highly_variable,299,0.0598
round2_selection_small,cv_cat,moderate,1732,0.3464
round2_selection_small,cv_cat,stable,1825,0.365
round2_selection_small,cv_cat,variable,1144,0.2288
round2_selection_small,missing_ratio_cat,complete,5000,1.0
round2_diagnostic_balanced_small,split,vali,5000,1.0
round2_diagnostic_balanced_small,dataset_name,TEST_DATA_HOUR,3849,0.7698
round2_diagnostic_balanced_small,dataset_name,TEST_DATA_MIN,1151,0.2302
round2_diagnostic_balanced_small,oracle_model,CrossFormer,1000,0.2
round2_diagnostic_balanced_small,oracle_model,DLinear,1000,0.2
round2_diagnostic_balanced_small,oracle_model,ES,1000,0.2
round2_diagnostic_balanced_small,oracle_model,NaiveForecaster,1000,0.2
round2_diagnostic_balanced_small,oracle_model,PatchTST,1000,0.2
round2_diagnostic_balanced_small,error_gap_quantile,q1,772,0.1544
round2_diagnostic_balanced_small,error_gap_quantile,q2,857,0.1714
round2_diagnostic_balanced_small,error_gap_quantile,q3,1258,0.2516
round2_diagnostic_balanced_small,error_gap_quantile,q4,1171,0.2342
round2_diagnostic_balanced_small,error_gap_quantile,q5,942,0.1884
round2_diagnostic_balanced_small,cluster,0,986,0.1972
round2_diagnostic_balanced_small,cluster,18,840,0.168
round2_diagnostic_balanced_small,cluster,2,1063,0.2126
round2_diagnostic_balanced_small,cluster,20,1185,0.237
round2_diagnostic_balanced_small,cluster,24,177,0.0354
round2_diagnostic_balanced_small,cluster,26,240,0.048
round2_diagnostic_balanced_small,cluster,6,254,0.0508
round2_diagnostic_balanced_small,cluster,8,255,0.051
round2_diagnostic_balanced_small,group_name,HIGH_HIGH_HIGH,986,0.1972
round2_diagnostic_balanced_small,group_name,HIGH_HIGH_LOW,1063,0.2126
round2_diagnostic_balanced_small,group_name,HIGH_LOW_HIGH,254,0.0508
round2_diagnostic_balanced_small,group_name,HIGH_LOW_LOW,255,0.051
round2_diagnostic_balanced_small,group_name,LOW_HIGH_HIGH,840,0.168
round2_diagnostic_balanced_small,group_name,LOW_HIGH_LOW,1185,0.237
round2_diagnostic_balanced_small,group_name,LOW_LOW_HIGH,177,0.0354
round2_diagnostic_balanced_small,group_name,LOW_LOW_LOW,240,0.048
round2_diagnostic_balanced_small,forecastability_cat,high,1355,0.271
round2_diagnostic_balanced_small,forecastability_cat,low,3492,0.6984
round2_diagnostic_balanced_small,forecastability_cat,medium,153,0.0306
round2_diagnostic_balanced_small,season_strength_cat,moderate,1207,0.2414
round2_diagnostic_balanced_small,season_strength_cat,strong,2931,0.5862
round2_diagnostic_balanced_small,season_strength_cat,weak,862,0.1724
round2_diagnostic_balanced_small,trend_strength_cat,moderate,2364,0.4728
round2_diagnostic_balanced_small,trend_strength_cat,strong,1929,0.3858
round2_diagnostic_balanced_small,trend_strength_cat,weak,707,0.1414
round2_diagnostic_balanced_small,cv_cat,highly_variable,361,0.0722
round2_diagnostic_balanced_small,cv_cat,moderate,1823,0.3646
round2_diagnostic_balanced_small,cv_cat,stable,1523,0.3046
round2_diagnostic_balanced_small,cv_cat,variable,1293,0.2586
round2_diagnostic_balanced_small,missing_ratio_cat,complete,5000,1.0
round2_test_small,split,test,5000,1.0
round2_test_small,dataset_name,TEST_DATA_HOUR,463,0.0926
round2_test_small,dataset_name,TEST_DATA_MIN,4537,0.9074
round2_test_small,oracle_model,CrossFormer,476,0.0952
round2_test_small,oracle_model,DLinear,613,0.1226
round2_test_small,oracle_model,ES,2135,0.427
round2_test_small,oracle_model,NaiveForecaster,764,0.1528
round2_test_small,oracle_model,PatchTST,1012,0.2024
round2_test_small,error_gap_quantile,q1,1432,0.2864
round2_test_small,error_gap_quantile,q2,597,0.1194
round2_test_small,error_gap_quantile,q3,915,0.183
round2_test_small,error_gap_quantile,q4,972,0.1944
round2_test_small,error_gap_quantile,q5,1084,0.2168
round2_test_small,cluster,0,150,0.03
round2_test_small,cluster,18,523,0.1046
round2_test_small,cluster,2,136,0.0272
round2_test_small,cluster,20,317,0.0634
round2_test_small,cluster,24,1001,0.2002
round2_test_small,cluster,26,1001,0.2002
round2_test_small,cluster,6,960,0.192
round2_test_small,cluster,8,912,0.1824
round2_test_small,group_name,HIGH_HIGH_HIGH,150,0.03
round2_test_small,group_name,HIGH_HIGH_LOW,136,0.0272
round2_test_small,group_name,HIGH_LOW_HIGH,960,0.192
round2_test_small,group_name,HIGH_LOW_LOW,912,0.1824
round2_test_small,group_name,LOW_HIGH_HIGH,523,0.1046
round2_test_small,group_name,LOW_HIGH_LOW,317,0.0634
round2_test_small,group_name,LOW_LOW_HIGH,1001,0.2002
round2_test_small,group_name,LOW_LOW_LOW,1001,0.2002
round2_test_small,forecastability_cat,high,1885,0.377
round2_test_small,forecastability_cat,low,2674,0.5348
round2_test_small,forecastability_cat,medium,441,0.0882
round2_test_small,season_strength_cat,moderate,761,0.1522
round2_test_small,season_strength_cat,strong,529,0.1058
round2_test_small,season_strength_cat,weak,3710,0.742
round2_test_small,trend_strength_cat,moderate,2720,0.544
round2_test_small,trend_strength_cat,strong,1100,0.22
round2_test_small,trend_strength_cat,weak,1180,0.236
round2_test_small,cv_cat,highly_variable,425,0.085
round2_test_small,cv_cat,moderate,1181,0.2362
round2_test_small,cv_cat,stable,2688,0.5376
round2_test_small,cv_cat,variable,706,0.1412
round2_test_small,missing_ratio_cat,complete,5000,1.0
