split,sample_set,field,value,count,fraction
vali,round2_selection_expanded,group_name,LOW_HIGH_LOW,2106,0.2106
vali,round2_selection_expanded,group_name,LOW_LOW_HIGH,422,0.0422
vali,round2_selection_expanded,group_name,LOW_LOW_LOW,437,0.0437
vali,round2_selection_expanded,oracle_model,CrossFormer,968,0.0968
vali,round2_selection_expanded,oracle_model,DLinear,3068,0.3068
vali,round2_selection_expanded,oracle_model,ES,3561,0.3561
vali,round2_selection_expanded,oracle_model,NaiveForecaster,807,0.0807
vali,round2_selection_expanded,oracle_model,PatchTST,1596,0.1596
vali,round2_selection_expanded,error_gap_quantile,q1,2678,0.2678
vali,round2_selection_expanded,error_gap_quantile,q2,1382,0.1382
vali,round2_selection_expanded,error_gap_quantile,q3,2196,0.2196
vali,round2_selection_expanded,error_gap_quantile,q4,2127,0.2127
vali,round2_selection_expanded,error_gap_quantile,q5,1617,0.1617
vali,round2_selection_expanded,forecastability_cat,high,3352,0.3352
vali,round2_selection_expanded,forecastability_cat,low,6455,0.6455
vali,round2_selection_expanded,forecastability_cat,medium,193,0.0193
vali,round2_selection_expanded,season_strength_cat,moderate,2106,0.2106
vali,round2_selection_expanded,season_strength_cat,strong,6264,0.6264
vali,round2_selection_expanded,season_strength_cat,weak,1630,0.163
vali,round2_selection_expanded,trend_strength_cat,moderate,4328,0.4328
vali,round2_selection_expanded,trend_strength_cat,strong,4452,0.4452
vali,round2_selection_expanded,trend_strength_cat,weak,1220,0.122
vali,round2_selection_expanded,cv_cat,highly_variable,594,0.0594
vali,round2_selection_expanded,cv_cat,moderate,3480,0.348
vali,round2_selection_expanded,cv_cat,stable,3588,0.3588
vali,round2_selection_expanded,cv_cat,variable,2338,0.2338
vali,round2_selection_expanded,missing_ratio_cat,complete,10000,1.0
vali,round2_diagnostic_balanced_expanded,split,vali,10000,1.0
vali,round2_diagnostic_balanced_expanded,sample_set,round2_diagnostic_balanced_expanded,10000,1.0
vali,round2_diagnostic_balanced_expanded,dataset_name,TEST_DATA_HOUR,7754,0.7754
vali,round2_diagnostic_balanced_expanded,dataset_name,TEST_DATA_MIN,2246,0.2246
vali,round2_diagnostic_balanced_expanded,group_name,HIGH_HIGH_HIGH,1963,0.1963
vali,round2_diagnostic_balanced_expanded,group_name,HIGH_HIGH_LOW,2111,0.2111
vali,round2_diagnostic_balanced_expanded,group_name,HIGH_LOW_HIGH,468,0.0468
vali,round2_diagnostic_balanced_expanded,group_name,HIGH_LOW_LOW,514,0.0514
vali,round2_diagnostic_balanced_expanded,group_name,LOW_HIGH_HIGH,1676,0.1676
vali,round2_diagnostic_balanced_expanded,group_name,LOW_HIGH_LOW,2411,0.2411
vali,round2_diagnostic_balanced_expanded,group_name,LOW_LOW_HIGH,377,0.0377
vali,round2_diagnostic_balanced_expanded,group_name,LOW_LOW_LOW,480,0.048
vali,round2_diagnostic_balanced_expanded,oracle_model,CrossFormer,2000,0.2
vali,round2_diagnostic_balanced_expanded,oracle_model,DLinear,2000,0.2
vali,round2_diagnostic_balanced_expanded,oracle_model,ES,2000,0.2
vali,round2_diagnostic_balanced_expanded,oracle_model,NaiveForecaster,2000,0.2
vali,round2_diagnostic_balanced_expanded,oracle_model,PatchTST,2000,0.2
vali,round2_diagnostic_balanced_expanded,error_gap_quantile,q1,1502,0.1502
vali,round2_diagnostic_balanced_expanded,error_gap_quantile,q2,1718,0.1718
vali,round2_diagnostic_balanced_expanded,error_gap_quantile,q3,2558,0.2558
vali,round2_diagnostic_balanced_expanded,error_gap_quantile,q4,2402,0.2402
vali,round2_diagnostic_balanced_expanded,error_gap_quantile,q5,1820,0.182
vali,round2_diagnostic_balanced_expanded,forecastability_cat,high,2693,0.2693
vali,round2_diagnostic_balanced_expanded,forecastability_cat,low,7004,0.7004
vali,round2_diagnostic_balanced_expanded,forecastability_cat,medium,303,0.0303
vali,round2_diagnostic_balanced_expanded,season_strength_cat,moderate,2408,0.2408
vali,round2_diagnostic_balanced_expanded,season_strength_cat,strong,5886,0.5886
vali,round2_diagnostic_balanced_expanded,season_strength_cat,weak,1706,0.1706
vali,round2_diagnostic_balanced_expanded,trend_strength_cat,moderate,4653,0.4653
vali,round2_diagnostic_balanced_expanded,trend_strength_cat,strong,3864,0.3864
vali,round2_diagnostic_balanced_expanded,trend_strength_cat,weak,1483,0.1483
vali,round2_diagnostic_balanced_expanded,cv_cat,highly_variable,742,0.0742
vali,round2_diagnostic_balanced_expanded,cv_cat,moderate,3666,0.3666
vali,round2_diagnostic_balanced_expanded,cv_cat,stable,2987,0.2987
vali,round2_diagnostic_balanced_expanded,cv_cat,variable,2605,0.2605
vali,round2_diagnostic_balanced_expanded,missing_ratio_cat,complete,10000,1.0
test,round2_test_expanded,split,test,15000,1.0
test,round2_test_expanded,sample_set,round2_test_expanded,15000,1.0
test,round2_test_expanded,dataset_name,TEST_DATA_HOUR,1395,0.093
test,round2_test_expanded,dataset_name,TEST_DATA_MIN,13605,0.907
test,round2_test_expanded,group_name,HIGH_HIGH_HIGH,448,0.029866666666666666
test,round2_test_expanded,group_name,HIGH_HIGH_LOW,451,0.030066666666666665
test,round2_test_expanded,group_name,HIGH_LOW_HIGH,2952,0.1968
test,round2_test_expanded,group_name,HIGH_LOW_LOW,2686,0.17906666666666668
test,round2_test_expanded,group_name,LOW_HIGH_HIGH,1572,0.1048
test,round2_test_expanded,group_name,LOW_HIGH_LOW,960,0.064
test,round2_test_expanded,group_name,LOW_LOW_HIGH,3076,0.20506666666666667
test,round2_test_expanded,group_name,LOW_LOW_LOW,2855,0.19033333333333333
test,round2_test_expanded,oracle_model,CrossFormer,1524,0.1016
test,round2_test_expanded,oracle_model,DLinear,1842,0.1228
test,round2_test_expanded,oracle_model,ES,6274,0.4182666666666667
test,round2_test_expanded,oracle_model,NaiveForecaster,2247,0.1498
test,round2_test_expanded,oracle_model,PatchTST,3113,0.20753333333333332
test,round2_test_expanded,error_gap_quantile,q1,4270,0.2846666666666667
test,round2_test_expanded,error_gap_quantile,q2,1718,0.11453333333333333
test,round2_test_expanded,error_gap_quantile,q3,2750,0.18333333333333332
test,round2_test_expanded,error_gap_quantile,q4,2946,0.1964
test,round2_test_expanded,error_gap_quantile,q5,3316,0.22106666666666666
test,round2_test_expanded,forecastability_cat,high,5752,0.3834666666666667
test,round2_test_expanded,forecastability_cat,low,7854,0.5236
test,round2_test_expanded,forecastability_cat,medium,1394,0.09293333333333334
test,round2_test_expanded,season_strength_cat,moderate,2248,0.14986666666666668
test,round2_test_expanded,season_strength_cat,strong,1645,0.10966666666666666
test,round2_test_expanded,season_strength_cat,weak,11107,0.7404666666666667
test,round2_test_expanded,trend_strength_cat,moderate,8140,0.5426666666666666
test,round2_test_expanded,trend_strength_cat,strong,3390,0.226
test,round2_test_expanded,trend_strength_cat,weak,3470,0.23133333333333334
test,round2_test_expanded,cv_cat,highly_variable,1240,0.08266666666666667
test,round2_test_expanded,cv_cat,moderate,3445,0.22966666666666666
test,round2_test_expanded,cv_cat,stable,8145,0.543
test,round2_test_expanded,cv_cat,variable,2170,0.14466666666666667
test,round2_test_expanded,missing_ratio_cat,complete,15000,1.0
